StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,MSHmeans_1,MSHmeans_2,MSHcons_1,MSHcons_2,MSHside_1,MSHtime_First Click,MSHtime_Last Click,MSHtime_Page Submit,MSHtime_Click Count,NSmeans_1,NSmeans_2,NScons_1,NScons_2,NSside_1,S9Time_First Click,S9Time_Last Click,S9Time_Page Submit,S9Time_Click Count,MRmeans_1,MRmeans_2,MRcons_1,MRcons_2,MRside_1,MRtime_First Click,MRtime_Last Click,MRtime_Page Submit,MRtime_Click Count,BWmeans_1,BWmeans_2,BWcons_1,BWcons_2,BWside_1,BWtime_First Click,BWtime_Last Click,BWtime_Page Submit,BWtime_Click Count,MFTmeans_1,MFTmeans_2,MFTcons_1,MFTcons_2,MFTside_1,MFTtime_First Click,MFTtime_Last Click,MFTtime_Page Submit,MFTtime_Click Count,NPmeans_1,NPmeans_2,NPcons_1,NPcons_2,NPside_1,NPtime_First Click,NPtime_Last Click,NPtime_Page Submit,NPtime_Click Count,SSmeans_1,SSmeans_2,SScons_1,SScons_2,SSside_1,SStime_First Click,SStime_Last Click,SStime_Page Submit,SStime_Click Count,MSUmeans_1,MSUmeans_2,MSUcons_1,MSUcons_2,MSUside_1,MSUtime_First Click,MSUtime_Last Click,MSUtime_Page Submit,MSUtime_Click Count,CBMmeans_1,CBMmeans_2,CBMcons_1,CBMcons_2,CBMside_1,CBMtime_First Click,CBMtime_Last Click,CBMtime_Page Submit,CBMtime_Click Count,BBmeans_1,BBmeans_2,BBcons_1,BBcons_2,BBside_1,BBtime_First Click,BBtime_Last Click,BBtime_Page Submit,BBtime_Click Count,VTmeans_1,VTmeans_2,VTcons_1,VTcons_2,VTside_1,VTtime_First Click,VTtime_Last Click,VTtime_Page Submit,VTtime_Click Count,DemAge,DemEdu,DemRace,DemRace_10_TEXT,DemGen,DemGen_4_TEXT,DemPol_1,Dem$$$
3/9/21 8:16,3/9/21 8:21,IP Address,70.16.199.131,100,316,TRUE,3/9/21 8:21,R_24OV6YmRgin6u3d,,,,,43.90409851,-69.8302002,anonymous,EN,,,,,50,13.152,13.152,14.951,1,,,,,57,8.693,8.693,9.603,1,,,,,50,5.089,7.261,8.235,3,,,60,30,,15.607,18.159,19.117,4,,,75,20,,4.795,6.61,10.4,3,,,90,15,,6.953,11.121,12.47,5,56,39,,,,85.076,87.991,88.844,6,,,75,41,,14.894,17.477,19.26,3,,,,,62,41.558,42.465,43.44,3,,,64,42,,41.487,43.474,44.424,4,,,,,70,4.326,8.265,12.321,4,27,Some college but no degree,White,,Male,,3,"$40,000 to $49,999"
3/9/21 8:18,3/9/21 8:22,IP Address,76.95.107.239,100,206,TRUE,3/9/21 8:22,R_sG0dP2X7GKeFdqp,,,,,34.23469543,-119.1893997,anonymous,EN,,,90,50,,11.385,14.715,15.783,2,,,,,70,6.454,10.802,11.962,2,,,80,90,,7.497,13.83,14.743,3,50,80,,,,3.968,11.622,13.276,3,,,70,80,,8.358,17.976,19.022,3,,,10,20,,10.068,16.361,17.427,3,,,,,30,5.354,9.842,11.168,2,,,60,90,,17.235,24.636,26.328,3,60,60,,,,8.092,13.503,14.596,3,,,,,90,5.148,5.148,6.138,1,,,70,50,,6.981,12.321,13.458,3,28,Some college but no degree,White,,Female,,5,"$60,000 to $69,999"
3/9/21 8:16,3/9/21 8:25,IP Address,24.20.18.225,100,551,TRUE,3/9/21 8:25,R_1dxX7UzoJevc55Y,,,,,44.59280396,-123.2745972,anonymous,EN,,,75,78,,24.894,44.17,47.98,4,66,16,,,,27.171,30.062,37.095,3,32,68,,,,32.597,60.848,63.185,8,,,67,77,,34.572,49.552,54.304,4,23,78,,,,19.26,21.765,24.761,2,,,81,80,,26.698,30.492,32.489,3,,,,,78,38.937,38.937,45.677,1,55,19,,,,50.503,55.615,69.26,2,76,17,,,,20.946,22.541,27.342,2,,,,,76,24.663,25.527,31.25,2,,,,,38,25.824,28.143,31.115,2,55,Bachelor's degree in college (4-year),White,,Male,,1,"$10,000 to $19,999"
3/9/21 8:16,3/9/21 8:26,IP Address,67.158.21.225,100,549,TRUE,3/9/21 8:26,R_2uJJ5AHDKDU3Mnf,,,,,44.14149475,-103.2052002,anonymous,EN,5,0,,,,28.961,35.737,38.613,2,,,,,5,36.54,36.54,38.727,1,,,10,100,,44.205,45.738,47.054,2,,,5,85,,41.816,47.4,50.019,2,,,,,0,19.108,19.108,20.76,1,,,10,100,,36.913,38.301,39.668,2,,,60,100,,54.353,60.281,61.958,4,,,,,5,72.332,72.332,96.935,1,,,5,100,,37.564,39.612,40.823,2,0,0,,,,28.622,29.866,32.622,2,,,,,10,32.433,32.433,38.588,1,40,Some college but no degree,White,,Female,,0,"$60,000 to $69,999"
3/9/21 8:23,3/9/21 8:27,IP Address,174.195.12.79,100,276,TRUE,3/9/21 8:27,R_XLO0fNf5GKWxuSd,,,,,35.16789246,-85.09449768,anonymous,EN,,,50,48,,14.012,27.622,28.19,7,52,15,,,,3.383,18.458,19.091,4,,,,,65,4.172,16.07,16.719,4,,,,,60,2.146,29.021,32.977,8,,,98,98,,7.608,17.954,18.301,6,,,,,50,2.983,8.531,9.002,3,74,51,,,,2.756,24.769,25.501,7,,,,,77,2.402,16.529,17.095,5,86,16,,,,9.389,21.148,21.877,5,,,79,87,,7.501,26.366,27.064,5,,,96,94,,11.984,23.044,23.563,8,41,Associate degree in college (2-year),White,,Female,,0,"$30,000 to $39,999"
3/9/21 8:17,3/9/21 8:34,IP Address,184.83.102.228,100,974,TRUE,3/9/21 8:34,R_xxe640JPsQNLR8l,,,,,43.52349854,-96.7385025,anonymous,EN,,,,,0,136.383,152.103,155.231,6,0,0,,,,58.282,68.101,70.106,5,100,100,,,,25.337,119.647,123.308,15,,,,,0,11.54,41.982,44.482,3,,,100,100,,5.166,42.605,44.27,7,,,90,100,,17.348,40.702,44.623,5,0,35,,,,41.516,54.655,56.46,6,0,0,,,,39.576,54.226,57.361,5,99,99,,,,75.644,130.855,137.765,16,,,,,5,20.699,73.347,76.089,7,,,0,0,,20.749,37.792,39.893,3,27,Bachelor's degree in college (4-year),Black or African American,,Male,,5,"$10,000 to $19,999"
3/9/21 8:30,3/9/21 8:40,IP Address,161.253.72.23,100,603,TRUE,3/9/21 8:40,R_27PufqXxiyvOkW1,,,,,39.00950623,-76.98459625,anonymous,EN,,,,,35,25.143,25.143,26.136,1,,,55,100,,41.12,42.433,43.32,2,30,0,,,,36.054,38.346,39.13,2,35,0,,,,131.812,134.353,135.62,2,,,65,100,,81.063,82.157,83.982,2,,,70,100,,32.282,33.448,34.419,2,,,,,35,55.074,55.074,56.566,1,,,,,40,50.499,50.499,51.385,1,,,55,100,,37.604,42.282,43.165,2,10,0,,,,22.698,26.793,29.038,2,38,0,,,,21.259,33.023,34.083,2,31,Master's degree,"White,Black or African American",,Male,,2,"$100,000 to $149,999"
3/9/21 8:41,3/9/21 8:47,IP Address,69.47.108.229,100,363,TRUE,3/9/21 8:47,R_2rviamOsz5TbaKH,,,,,40.11039734,-83.11309814,anonymous,EN,38,0,,,,19.851,24.175,25.448,4,,,54,63,,27.463,33.102,33.916,5,,,27,34,,29.673,34.16,35.493,2,,,,,55,24.639,24.639,25.245,1,83,5,,,,16.295,21.961,22.292,5,,,,,99,27.507,27.507,28.617,1,67,16,,,,25.039,26.241,29.889,2,,,,,62,23.119,23.119,23.87,1,,,54,67,,60.181,62.013,63.305,2,,,77,84,,21.439,25.754,26.656,3,100,5,,,,10.262,14.341,15.393,2,23,Some college but no degree,White,,Male,,1,"$20,000 to $29,999"
3/9/21 8:43,3/9/21 8:49,IP Address,35.136.193.26,100,346,TRUE,3/9/21 8:49,R_297iiGKWNE3eFn5,,,,,28.92840576,-82.49210358,anonymous,EN,,,,,75,30.927,32.123,33.102,2,0,0,,,,21.022,22.358,23.923,2,,,100,100,,26.051,27.801,28.92,2,25,0,,,,20.138,26.133,27.546,3,0,0,,,,12.634,13.959,15.064,2,70,0,,,,21.344,25.414,27.139,2,,,,,50,25.602,25.602,26.67,1,50,0,,,,40.978,43.569,44.835,3,,,75,0,,23.753,28.676,30.737,4,0,0,,,,16.627,18.443,19.791,2,,,100,100,,27.898,30.948,32.463,3,52,Some college but no degree,White,,Female,,4,"$30,000 to $39,999"
3/9/21 8:47,3/9/21 8:56,IP Address,108.185.71.126,100,551,TRUE,3/9/21 8:56,R_123ggqaSzq1bD84,,,,,33.92120361,-118.142395,anonymous,EN,,,,,55,26.743,31.416,32.865,3,,,,,60,34.466,36.641,37.051,2,,,,,45,40.618,42.908,44.934,5,65,5,,,,35.851,46.7,48.093,4,38,1,,,,34.161,40.67,42.263,3,,,90,98,,44.55,47.945,49.925,2,,,,,63,31.128,33.408,39.164,3,,,88,97,,43.365,48.826,50.321,2,69,1,,,,12.78,33.725,34.827,4,,,81,90,,63.59,71.657,74.327,4,,,,,85,43.917,43.917,45.711,1,34,Bachelor's degree in college (4-year),East Asian,,Male,,3,"$70,000 to $79,999"
