StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,MSHmeans_1,MSHmeans_2,MSHcons_1,MSHcons_2,MSHside_1,MSHtime_First Click,MSHtime_Last Click,MSHtime_Page Submit,MSHtime_Click Count,NSmeans_1,NSmeans_2,NScons_1,NScons_2,NSside_1,S9Time_First Click,S9Time_Last Click,S9Time_Page Submit,S9Time_Click Count,MRmeans_1,MRmeans_2,MRcons_1,MRcons_2,MRside_1,MRtime_First Click,MRtime_Last Click,MRtime_Page Submit,MRtime_Click Count,BWmeans_1,BWmeans_2,BWcons_1,BWcons_2,BWside_1,BWtime_First Click,BWtime_Last Click,BWtime_Page Submit,BWtime_Click Count,MFTmeans_1,MFTmeans_2,MFTcons_1,MFTcons_2,MFTside_1,MFTtime_First Click,MFTtime_Last Click,MFTtime_Page Submit,MFTtime_Click Count,NPmeans_1,NPmeans_2,NPcons_1,NPcons_2,NPside_1,NPtime_First Click,NPtime_Last Click,NPtime_Page Submit,NPtime_Click Count,SSmeans_1,SSmeans_2,SScons_1,SScons_2,SSside_1,SStime_First Click,SStime_Last Click,SStime_Page Submit,SStime_Click Count,MSUmeans_1,MSUmeans_2,MSUcons_1,MSUcons_2,MSUside_1,MSUtime_First Click,MSUtime_Last Click,MSUtime_Page Submit,MSUtime_Click Count,CBMmeans_1,CBMmeans_2,CBMcons_1,CBMcons_2,CBMside_1,CBMtime_First Click,CBMtime_Last Click,CBMtime_Page Submit,CBMtime_Click Count,BBmeans_1,BBmeans_2,BBcons_1,BBcons_2,BBside_1,BBtime_First Click,BBtime_Last Click,BBtime_Page Submit,BBtime_Click Count,VTmeans_1,VTmeans_2,VTcons_1,VTcons_2,VTside_1,VTtime_First Click,VTtime_Last Click,VTtime_Page Submit,VTtime_Click Count,DemAge,DemEdu,DemRace,DemRace_10_TEXT,DemGen,DemGen_4_TEXT,DemPol_1,Dem$$$
1/8/21 8:24,1/8/21 8:35,IP Address,100,665,TRUE,1/8/21 8:35,R_r2QxMBAPg0cuVy1,,,,,anonymous,EN,,,,,55,12.312,24.811,26.003,3,,,68,100,,1.84,60.1,60.88,8,,,,,56,13.493,24.123,25.187,5,,,54,20,,18.667,65.978,66.566,15,,,,,54,3.62,89.346,90.57,7,63,7,,,,14.028,36.475,37.158,9,,,78,100,,37.282,79.482,80.05,17,,,,,52,1.95,63.946,64.981,4,,,,,64,4.285,64.069,65.052,5,,,,,54,20.254,47.459,48.279,9,,,,,79,5.996,29.222,30.131,4,61,Bachelor's degree in college (4-year),White,,Female,,1,"$20,000 to $29,999"
1/8/21 8:24,1/8/21 8:40,IP Address,100,931,TRUE,1/8/21 8:40,R_tMQK0lAwccb1Bfj,,,,,anonymous,EN,,,,,32,62.571,62.571,63.577,1,50,0,,,,38.685,63.141,64.628,2,,,30,72,,48.803,53.835,55.593,2,,,51,73,,54.969,71.463,72.583,3,,,,,30,22.903,23.924,25.082,2,,,29,52,,50.212,53.164,54.504,2,,,61,100,,56.01,60.31,61.979,5,,,,,40,252.374,252.374,254.264,1,,,0,0,,33.948,39.998,41.2,3,,,,,40,64.043,64.043,70.813,1,,,100,100,,43.698,67.131,68.278,2,62,Bachelor's degree in college (4-year),White,,Female,,6,"$10,000 to $19,999"
1/8/21 8:38,1/8/21 8:42,IP Address,100,198,TRUE,1/8/21 8:42,R_2s0EslmgnN5vV7W,,,,,anonymous,EN,75,80,,,,4.063,5.786,6.624,2,89,82,,,,3.387,5.079,6.093,2,,,,,86,5.078,20.208,21.846,7,84,81,,,,3.924,5.978,7.637,2,,,74,72,,3.961,7.132,8.057,3,,,45,62,,2.323,3.924,5.172,2,88,73,,,,2.921,4.827,9.806,2,,,89,90,,3.813,5.594,6.378,2,,,,,70,5.598,16.473,18.059,5,,,,,80,3.577,4.894,6.256,2,,,10,27,,3.536,31.034,32.505,7,35,Bachelor's degree in college (4-year),Native American or Alaska Native,,Male,,5,"$80,000 to $89,999"
1/8/21 8:34,1/8/21 8:43,IP Address,100,534,TRUE,1/8/21 8:43,R_10ucagt2mHZ3q2Z,,,,,anonymous,EN,0,0,,,,26.673,45.47,46.964,4,,,,,0,24.485,27.199,29.319,2,,,,,75,31.217,31.217,32.243,1,,,31,55,,46.479,76.645,78.152,4,,,,,0,16.168,16.168,20.217,1,100,0,,,,20.683,22.48,23.481,2,100,25,,,,37.051,54.677,56.912,3,,,,,78,29.051,62.13,63.135,2,100,0,,,,4.324,32.582,35.07,3,,,100,100,,27.961,29.933,31.576,2,,,30,100,,24.141,74.058,75.141,6,53,Bachelor's degree in college (4-year),White,,Male,,1,"$10,000 to $19,999"
1/8/21 8:29,1/8/21 8:45,IP Address,100,923,TRUE,1/8/21 8:45,R_2EufC8tiTlVSNK1,,,,,anonymous,EN,,,,,14,22.522,22.522,24.733,1,4,0,,,,22.864,61.663,64.06,3,,,,,89,30.601,30.601,31.806,1,6,0,,,,20.88,22.064,33.197,2,9,0,,,,19.737,21.665,23.341,2,,,9,78,,12.737,40.977,46.364,2,,,,,75,54.669,57.525,58.394,2,,,,,7,21.79,22.83,25.482,2,,,5,77,,24.368,27.297,30.693,2,,,30,84,,25.822,29.038,30.378,2,,,,,91,16.338,18.22,19.368,3,39,Bachelor's degree in college (4-year),White,,Female,,7,"$40,000 to $49,999"
1/8/21 8:38,1/8/21 8:45,IP Address,100,403,TRUE,1/8/21 8:45,R_1ib1Uzyrho3EFhZ,,,,,anonymous,EN,,,,,80,16.64,17.318,18.201,3,,,,,84,2.844,10.578,21.009,7,,,,,76,3.876,3.876,8.535,1,,,,,82,2.808,60.615,77.293,4,,,80,90,,14.28,27.68,37.865,10,,,,,78,4.102,5.353,12.314,3,70,85,,,,3.403,5.142,11.43,3,,,,,67,3.582,3.582,6.334,1,70,83,,,,2.495,5.054,78.496,4,,,,,78,37.001,37.001,37.711,1,,,,,70,22.867,22.867,25.54,1,29,Bachelor's degree in college (4-year),White,,Male,,5,"$50,000 to $59,999"
1/8/21 8:47,1/8/21 8:53,IP Address,100,346,TRUE,1/8/21 8:53,R_1r1aurAwzCHxefZ,,,,,anonymous,EN,,,84,52,,42.91,45.653,46.927,2,,,87,100,,32.434,36.665,37.335,3,85,0,,,,22.221,24.562,25.682,2,51,0,,,,12.664,14.199,15.522,2,,,,,72,7.745,7.745,8.695,1,,,83,100,,20.624,22.347,22.964,2,61,0,,,,42.594,45.298,46.795,2,,,82,92,,34.978,36.454,37.545,3,94,0,,,,19.123,20.215,21.703,2,,,93,100,,19.926,23.001,23.795,4,,,,,100,21.349,21.349,22.262,1,30,Bachelor's degree in college (4-year),White,,Female,,5,"$50,000 to $59,999"
1/8/21 8:48,1/8/21 9:11,IP Address,100,1379,TRUE,1/8/21 9:11,R_2YPUaYxYqzw74uV,,,,,anonymous,EN,8,0,,,,96.395,100.283,111.765,3,0,0,,,,25.462,29.777,36.917,2,1,1,,,,48.665,73.28,82.022,3,,,,,52,58.445,61.398,62.518,2,,,67,96,,19.16,21.583,46.73,2,,,,,7,582.064,582.064,587.867,1,5,0,,,,101.3,103.047,141.649,2,,,45,77,,70.16,78.494,80.634,4,,,,,3,38.912,42.602,47.539,2,0,0,,,,22.461,26.856,28.663,3,,,0,0,,12.995,105.36,107.447,3,53,Master's degree,White,,Female,,1,"$100,000 to $149,999"
1/8/21 8:31,1/8/21 9:12,IP Address,100,2486,TRUE,1/8/21 9:12,R_3O3awZwDQFSgQP3,,,,,anonymous,EN,29,16,,,,0.978,3.869,63.348,4,,,,,29,0.785,7.249,8.189,6,,,,,35,2.731,358.979,361.003,7,,,26,15,,1.264,8.658,13.283,5,,,0,9,,1.145,1910.521,1912.758,14,,,32,44,,1.025,5.162,9.316,6,23,76,,,,7.684,19.898,21.021,5,,,,,63,1.059,7.624,9.458,4,,,15,79,,4.301,14,15.082,10,,,,,37,2.7,7.085,9.323,4,,,,,16,4.841,4.841,7.033,1,31,High school graduate (high school diploma or equivalent including GED),Black or African American,,Female,,6,"$20,000 to $29,999"
1/8/21 9:37,1/8/21 9:42,IP Address,100,315,TRUE,1/8/21 9:42,R_27Is0ikvgHEleei,,,,,anonymous,EN,,,,,70,6.518,6.518,7.495,1,62,69,,,,24.955,26.399,31.956,2,,,77,59,,10.351,11.804,13.561,2,,,,,44,11.401,11.401,12.473,1,83,57,,,,14.909,17.287,18.262,2,68,48,,,,15.826,18.401,20.227,3,,,,,55,21.981,21.981,24.002,1,,,58,56,,6.481,8.025,10.074,2,,,,,54,9.144,9.144,10.927,1,66,61,,,,6.115,11.2,12.213,2,42,68,,,,4.14,8.268,9.859,3,30,Bachelor's degree in college (4-year),White,,Male,,5,"$10,000 to $19,999"
