StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,MSHmeans_1,MSHmeansConQ_1,MSHmeansTime_First Click,MSHmeansTime_Last Click,MSHmeansTime_Page Submit,MSHmeansTime_Click Count,MSHcons_1,MSHconsConQ_1,MSHConsTime_First Click,MSHConsTime_Last Click,MSHConsTime_Page Submit,MSHConsTime_Click Count,MSHside_1,MSHsideConQ_1,MSHsideTime_First Click,MSHsideTime_Last Click,MSHsideTime_Page Submit,MSHsideTime_Click Count,MSHsidecons_1,MSHsideconsConQ_1,MSHsideconsTime_First Click,MSHsideconsTime_Last Click,MSHsideconsTime_Page Submit,MSHsideconsTime_Click Count,NSmeans_1,NSmeansConQ_1,NSmeansTime_First Click,NSmeansTime_Last Click,NSmeansTime_Page Submit,NSmeansTime_Click Count,NScons_1,NSconsConQ_1,NSconsTime_First Click,NSconsTime_Last Click,NSconsTime_Page Submit,NSconsTime_Click Count,NSside_1,NSsideConQ_16,NSsideTime_First Click,NSsideTime_Last Click,NSsideTime_Page Submit,NSsideTime_Click Count,NSsidecons_1,NSsideconsConQ_1,NSsideconsTime_First Click,NSsideconsTime_Last Click,NSsideconsTime_Page Submit,NSsideconsTime_Click Count,MRmeans_1,MRmeansConQ_1,MRmeansTime_First Click,MRmeansTime_Last Click,MRmeansTime_Page Submit,MRmeansTime_Click Count,MRcons_1,MRconsConQ_1,MRconsTime_First Click,MRconsTime_Last Click,MRconsTime_Page Submit,MRconsTime_Click Count,MRside_1,MRsideConQ_1,MRsideTime_First Click,MRsideTime_Last Click,MRsideTime_Page Submit,MRsideTime_Click Count,MRsidecons_1,MRsideconsConQ_1,MRsideconsTime_First Click,MRsideconsTime_Last Click,MRsideconsTime_Page Submit,MRsideconsTime_Click Count,MFTmeans_1,MFTmeansConQ_1,MFTmeansTime_First Click,MFTmeansTime_Last Click,MFTmeansTime_Page Submit,MFTmeansTime_Click Count,MFTcons_1,MFTconsConQ_1,MFTconsTime_First Click,MFTconsTime_Last Click,MFTconsTime_Page Submit,MFTconsTime_Click Count,MFTside_1,MFTsideConQ_1,MFTsideTime_First Click,MFTsideTime_Last Click,MFTsideTime_Page Submit,MFTsideTime_Click Count,MFTsidecons_1,MFTsideconsConQ_1,MFTsideconsTime_First Click,MFTsideconsTime_Last Click,MFTsideconsTime_Page Submit,MFTsideconsTime_Click Count,NPmeans_1,NPmeansConQ_1,NPmeansTime_First Click,NPmeansTime_Last Click,NPmeansTime_Page Submit,NPmeansTime_Click Count,NPcons_1,NPconsConQ_1,NPconsTime_First Click,NPconsTime_Last Click,NPconsTime_Page Submit,NPconsTime_Click Count,NPside_1,NPsideConQ_1,NPsideTime_First Click,NPsideTime_Last Click,NPsideTime_Page Submit,NPsideTime_Click Count,NPsidecons_1,NPsideconsConQ_1,NPsideconsTime_First Click,NPsideconsTime_Last Click,NPsideconsTime_Page Submit,NPsideconsTime_Click Count,SSmeans_1,SSmeansConQ_1,SSmeansTime_First Click,SSmeansTime_Last Click,SSmeansTime_Page Submit,SSmeansTime_Click Count,SScons_1,SSconsConQ_1,SSconsTime_First Click,SSconsTime_Last Click,SSconsTime_Page Submit,SSconsTime_Click Count,SSside_1,SSsideConQ_1,SSsideTime_First Click,SSsideTime_Last Click,SSsideTime_Page Submit,SSsideTime_Click Count,SSsidecons_1,SSsideconsConQ_1,SSsideconsTime_First Click,SSsideconsTime_Last Click,SSsideconsTime_Page Submit,SSsideconsTime_Click Count,BBmeans_1,BBmeansConQ_1,BBmeansTime_First Click,BBmeansTime_Last Click,BBmeansTime_Page Submit,BBmeansTime_Click Count,BBcons_1,BBconsConQ_1,BBconsTime_First Click,BBconsTime_Last Click,BBconsTime_Page Submit,BBconsTime_Click Count,BBside_1,BBsideConQ_1,BBsideTime_First Click,BBsideTime_Last Click,BBsideTime_Page Submit,BBsideTime_Click Count,BBsidecons_1,BBsideconsConQ_1,BBsideconsTime_First Click,BBsideconsTime_Last Click,BBsideconsTime_Page Submit,BBsideconsTime_Click Count,DemAge,DemEdu,DemRace,DemRace_10_TEXT,DemGen,DemGen_4_TEXT,DemPol_1
8/26/21 14:29,8/26/21 14:31,IP Address,72.68.192.46,100,147,TRUE,8/26/21 14:31,R_2amoctucpyatuN8,,,,,40.66499329,-73.95230103,anonymous,EN,,,,,,,46,11,0.163,13.213,14.497,3,,,,,,,,,,,,,79,48,3.384,7.456,8.052,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,10.723,12.084,13.802,2,69,62,5.946,9.04,10.802,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,68,7.401,19.781,21.752,4,,,,,,,,,,,,,,,,,,,25,34,10.663,11.722,12.927,2,,,,,,,80,31,18.866,27.642,28.754,3,,,,,,,,,,,,,27,Master's degree,White,,Male,,4
8/26/21 14:30,8/26/21 14:31,IP Address,68.118.255.19,100,101,TRUE,8/26/21 14:31,R_3nkJuIf7Rxri3kn,,,,,42.12449646,-72.4464035,anonymous,EN,,,,,,,66,86,2.352,7.749,8.627,8,,,,,,,,,,,,,,,,,,,,,,,,,91,88,2.598,6.426,6.794,5,,,,,,,,,,,,,,,,,,,,,,,,,74,50,2.45,4.07,4.839,2,74,61,2.584,4.311,5.429,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,84,4.892,8.893,9.408,5,,,,,,,84,73,4.232,6.681,7.1,4,,,,,,,,,,,,,,,,,,,49,59,3.461,5.388,6.252,2,,,,,,,,,,,,,,,,,,,41,Bachelor's degree in college (4-year),White,,Male,,4
8/26/21 14:30,8/26/21 14:32,IP Address,45.87.62.117,100,121,TRUE,8/26/21 14:32,R_1ZAJ0YZov4hRIxr,,,,,32.81370544,-96.87039948,anonymous,EN,,,,,,,,,,,,,,,,,,,58,45,5.133,8.906,10.838,2,60,44,8.313,16.749,18.092,4,,,,,,,,,,,,,,,,,,,74,57,18.495,22.779,23.857,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,43,4.909,7.962,9.16,2,,,,,,,,,,,,,,,,,,,68,49,4.948,7.118,8.174,2,,,,,,,,,,,,,,,,,,,47,50,4.357,7.335,8.788,2,,,,,,,,,,,,,,,,,,,62,41,3.53,11.105,13.428,7,32,Bachelor's degree in college (4-year),White,,Male,,3
8/26/21 14:31,8/26/21 14:33,IP Address,108.252.146.27,100,104,TRUE,8/26/21 14:33,R_3MysNmIfrcc85IP,,,,,29.94949341,-90.12039948,anonymous,EN,,,,,,,,,,,,,70,81,4.08,7.057,8.297,4,,,,,,,,,,,,,,,,,,,,,,,,,68,76,3.327,8.296,9.452,5,,,,,,,,,,,,,69,81,17.021,18.749,19.901,2,,,,,,,,,,,,,,,,,,,75,81,3.319,4.82,6.368,2,,,,,,,,,,,,,75,76,3.092,6.474,7.463,6,,,,,,,,,,,,,,,,,,,,,,,,,74,80,8.461,9.894,11.278,2,,,,,,,,,,,,,,,,,,,,,,,,,64,77,3.174,4.744,8.907,2,30,Master's degree,White,,Female,,5
8/26/21 14:29,8/26/21 14:33,IP Address,216.106.30.98,100,271,TRUE,8/26/21 14:33,R_28Scel46G3Zwm33,,,,,38.57730103,-92.24430084,anonymous,EN,,,,,,,,,,,,,,,,,,,100,100,21.993,24.326,27.507,2,,,,,,,,,,,,,55,0,33.977,42.057,43.342,3,,,,,,,,,,,,,,,,,,,,,,,,,100,100,25.983,29.19,29.592,3,,,,,,,100,100,18.482,21.271,22.451,2,,,,,,,,,,,,,52,0,35.484,37.006,38.374,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,34.951,38.986,44.067,2,,,,,,,,,,,,,,,,,,,85,90,34.386,38.663,39.616,2,31,Bachelor's degree in college (4-year),White,,Male,,0
8/26/21 14:29,8/26/21 14:33,IP Address,73.189.185.155,100,280,TRUE,8/26/21 14:33,R_vPRE8LVGcua99Ml,,,,,37.33720398,-121.7980042,anonymous,EN,,,,,,,,,,,,,100,1,7.919,9.393,11.639,2,,,,,,,80,1,13.091,26.82,27.864,3,,,,,,,,,,,,,,,,,,,,,,,,,82,1,7.279,19.408,20.382,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,9.17,23.226,25.939,4,77,1,63.84,86.68,87.9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,21.571,24.016,26.09,3,,,,,,,,,,,,,100,1,8.873,11.275,13.978,3,,,,,,,37,Bachelor's degree in college (4-year),"White,Native Hawaiian or Pacific Islander,East Asian",,Male,,1
8/26/21 14:28,8/26/21 14:33,IP Address,24.179.20.7,100,297,TRUE,8/26/21 14:33,R_3JqMDvNKhsSzLhr,,,,,34.75180054,-82.25559998,anonymous,EN,,,,,,,80,75,21.639,39.825,40.42,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,86,16.032,24.89,25.441,5,,,,,,,,,,,,,,,,,,,87,87,22.027,26.531,27.146,4,,,,,,,,,,,,,,,,,,,86,100,14.459,40.926,41.648,5,,,,,,,,,,,,,91,71,16.18,23.638,24.492,4,,,,,,,35,10,47.008,57.945,58.69,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,20,32.894,49.651,50.588,4,,,,,,,49,Master's degree,White,,Female,,6
8/26/21 14:29,8/26/21 14:33,IP Address,73.17.14.96,100,241,TRUE,8/26/21 14:33,R_1q1Yx2fb5tkmesQ,,,,,41.67399597,-73.00749969,anonymous,EN,,,,,,,,,,,,,60,0,20.901,26.009,27.032,2,,,,,,,,,,,,,80,100,21.793,23.712,25.144,2,,,,,,,,,,,,,,,,,,,,,,,,,50,10,49.665,54.587,55.802,2,,,,,,,50,0,12.186,13.701,14.634,2,,,,,,,,,,,,,,,,,,,,,,,,,90,100,25.362,27.624,28.885,2,,,,,,,,,,,,,,,,,,,70,100,31.882,35.173,36.522,2,,,,,,,,,,,,,50,0,17.286,19.332,23.547,2,,,,,,,,,,,,,,,,,,,27,High school graduate (high school diploma or equivalent including GED),White,,Male,,0
8/26/21 14:28,8/26/21 14:34,IP Address,68.179.240.85,100,307,TRUE,8/26/21 14:34,R_33wBaq92EGPN198,,,,,35.60650635,-92.27420044,anonymous,EN,10,3,9.877,15,16.399,3,,,,,,,,,,,,,,,,,,,,,,,,,12,88,11.201,13.451,13.942,2,,,,,,,,,,,,,,,,,,,11,87,14.195,17.601,18.848,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,92,11.674,13.826,14.791,2,11,0,11.458,13.58,14.926,2,,,,,,,,,,,,,,,,,,,,,,,,,19,92,10.389,16.232,17.639,2,,,,,,,,,,,,,,,,,,,8,88,17.953,28.759,29.368,8,,,,,,,,,,,,,53,Master's degree,White,,Male,,5
8/26/21 14:29,8/26/21 14:34,IP Address,174.106.148.44,100,281,TRUE,8/26/21 14:34,R_2TzWFxuuogPRuHn,,,,,34.43440247,-77.92340088,anonymous,EN,,,,,,,,,,,,,47,0,24.831,26.442,29.928,3,,,,,,,,,,,,,,,,,,,,,,,,,79,99,23.4,36.142,37.451,5,,,,,,,79,89,26.131,33.923,34.801,7,,,,,,,,,,,,,29,0,13.777,14.9,15.983,2,,,,,,,,,,,,,,,,,,,,,,,,,46,80,17.806,26.39,27.037,7,,,,,,,,,,,,,,,,,,,,,,,,,38,0,3.612,55.839,64.223,7,,,,,,,,,,,,,84,99,28.05,42.623,43.315,6,,,,,,,,,,,,,36,Associate degree in college (2-year),White,,Female,,5
